Detected,Detected2,Detected3,Detected4,Detected5,Reality,Was Covert,Frameno,Diff,Diff2,Diff3,Diff4,Diff5
0,0,0,0,0,0,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
7,7,7,7,7,7,False,287,True,True,True,True,True
11,11,11,11,11,11,False,286,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
16,16,16,16,16,16,False,287,True,True,True,True,True
7,7,7,7,7,7,False,286,True,True,True,True,True
0,0,0,0,0,0,False,288,True,True,True,True,True
7,7,7,7,7,7,False,288,True,True,True,True,True
25,25,25,25,25,25,False,287,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
7,7,7,7,7,7,False,287,True,True,True,True,True
7,7,7,7,7,7,False,287,True,True,True,True,True
T8,T8,T8,T8,T8,T8,False,287,True,True,True,True,True
14,14,14,14,14,14,False,286,True,True,True,True,True
12,12,12,12,12,12,False,286,True,True,True,True,True
11,11,11,11,11,11,False,287,True,True,True,True,True
20,20,20,20,20,20,False,287,True,True,True,True,True
12,12,12,12,12,12,False,286,True,True,True,True,True
0,0,0,0,0,0,False,286,True,True,True,True,True
14,14,14,14,14,14,False,288,True,True,True,True,True
14,14,14,14,14,14,False,287,True,True,True,True,True
14,14,14,14,14,14,False,288,True,True,True,True,True
T14,T14,T14,T14,T14,T14,False,288,True,True,True,True,True
0,0,0,0,0,0,True,286,True,True,True,True,True
12,12,12,12,12,12,False,286,True,True,True,True,True
0,D9,9,9,D9,9,False,287,False,False,True,True,False
0,0,0,0,0,0,False,286,True,True,True,True,True
2,2,2,2,2,2,False,287,True,True,True,True,True
0,0,0,0,0,D6,False,286,False,False,False,False,False
0,0,0,0,0,0,False,286,True,True,True,True,True
15,T15,T2,T2,T2,15,False,287,True,False,False,False,False
6,6,6,6,6,6,False,287,True,True,True,True,True
10,10,10,10,10,10,False,287,True,True,True,True,True
0,0,0,0,0,D7,False,286,False,False,False,False,False
14,14,14,14,14,14,False,286,True,True,True,True,True
11,11,11,11,11,11,False,286,True,True,True,True,True
9,T9,T9,T9,T9,9,False,287,True,False,False,False,False
5,5,5,5,5,5,False,287,True,True,True,True,True
9,14,9,9,9,14,False,287,False,True,False,False,False
14,14,14,14,14,14,False,286,True,True,True,True,True
5,5,5,5,5,5,False,287,True,True,True,True,True
T12,T12,9,9,9,9,False,288,False,False,True,True,True
9,9,9,9,9,9,False,287,True,True,True,True,True
T5,T5,5,5,T5,T5,False,288,True,True,False,False,True
20,20,20,20,20,20,False,285,True,True,True,True,True
D9,D9,D9,D9,D9,D9,False,287,True,True,True,True,True
0,0,0,0,0,0,False,287,True,True,True,True,True
1,1,1,1,1,1,False,286,True,True,True,True,True
9,9,9,9,9,9,False,286,True,True,True,True,True
